Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
13662507;City Apartment Vienna Suite 2;73509712;Innere Stadt;Entire home/apt;95;2;25;05.12.2019;0.54;5;105;16.06.2020;Vienna;Austria;48.20928742523139, 16.37444201565481;Austria, Vienna, Innere Stadt
13803691;Beautiful apartment in the center of Vienna;81196775;Wieden;Entire home/apt;65;2;183;30.03.2020;03.Вер;6;0;16.06.2020;Vienna;Austria;48.193502561065976, 16.36900597375903;Austria, Vienna, Wieden
13818865;Beautiful Modern Apartment in Central Location;4002176;Landstra§e;Entire home/apt;115;1;46;19.02.2019;Січ.18;5;144;16.06.2020;Vienna;Austria;48.20524277630368, 16.385694634131088;Austria, Vienna, Landstra§e
13922048;Spacious Vintage/Design Duplex in central position;27628707;Landstra§e;Entire home/apt;69;2;255;14.03.2020;Тра.33;3;306;16.06.2020;Vienna;Austria;48.19344542902574, 16.392107068570372;Austria, Vienna, Landstra§e
13975450;Everything at once;70293510;Dbling;Entire home/apt;59;2;94;29.03.2020;02.Січ;1;85;16.06.2020;Vienna;Austria;48.25440356102343, 16.364076515770027;Austria, Vienna, Dbling
13985432;Charming Viennese Apartment with Style;9489137;Brigittenau;Entire home/apt;62;3;143;12.03.2020;03.Січ;1;0;16.06.2020;Vienna;Austria;48.23013811540095, 16.375621870239453;Austria, Vienna, Brigittenau
14199507;Executive Suite Margareten Top 2;8632750;Margareten;Entire home/apt;80;1;2;24.04.2017;0.04;82;289;16.06.2020;Vienna;Austria;48.18808912245717, 16.35378669004934;Austria, Vienna, Margareten
14231964;Rooftop apartment in the heart of Vienna;85360333;Rudolfsheim-Fnfhaus;Entire home/apt;55;5;1;03.09.2017;0.03;1;0;16.06.2020;Vienna;Austria;48.19244214339495, 16.33543033321686;Austria, Vienna, Rudolfsheim-Fnfhaus
14355223;helle Biedermeierwohnung,in Citynähe,75 qm;87994175;Mariahilf;Entire home/apt;83;14;4;01.01.2019;0.09;1;89;16.06.2020;Vienna;Austria;48.191438483943806, 16.3456818434469;Austria, Vienna, Mariahilf
14564557;SKY9 Apartment Margareten;1493785;Margareten;Entire home/apt;75;1;7;23.02.2020;0.28;14;335;16.06.2020;Vienna;Austria;48.185486227467464, 16.346117247187937;Austria, Vienna, Margareten
15033991;1 Bedroom Apartment with Balcony;4331202;Favoriten;Entire home/apt;99;3;13;18.04.2020;0.43;73;354;16.06.2020;Vienna;Austria;48.18167186023454, 16.375385852063904;Austria, Vienna, Favoriten
15274665;"charming studio in beautiful ""fin de ciecle-house""";5888815;Alsergrund;Entire home/apt;60;2;13;19.02.2019;0.32;5;108;16.06.2020;Vienna;Austria;48.22587737987333, 16.35318794231456;Austria, Vienna, Alsergrund
15503286;Wonderful Studio near city center & Hauptbahnhof!;45798333;Margareten;Entire home/apt;68;2;68;07.03.2020;Січ.53;3;335;16.06.2020;Vienna;Austria;48.18706510527154, 16.35678481113003;Austria, Vienna, Margareten
16143411;Superb Loft;105338787;Leopoldstadt;Entire home/apt;95;3;23;29.03.2020;0.54;1;364;16.06.2020;Vienna;Austria;48.218211492636115, 16.377510513378283;Austria, Vienna, Leopoldstadt
16252365;Stylish & Central 3-Bedroom Apartment;29775689;Leopoldstadt;Entire home/apt;100;5;12;04.01.2020;0.4;3;31;16.06.2020;Vienna;Austria;48.21581314381697, 16.381317772443833;Austria, Vienna, Leopoldstadt
16379327;new luxurious flat in historical house;6887176;Wieden;Entire home/apt;55;2;28;11.03.2020;0.67;4;318;16.06.2020;Vienna;Austria;48.192868254944806, 16.368381367678353;Austria, Vienna, Wieden
16612361;Superior Apartment Balcony V3;108811659;Dbling;Entire home/apt;150;2;0;;;17;1;16.06.2020;Vienna;Austria;48.25212012211754, 16.331775387707335;Austria, Vienna, Dbling
16644149;Apartment with Balcony & Garden View V3;108811659;Dbling;Entire home/apt;135;2;2;05.02.2019;0.05;17;37;16.06.2020;Vienna;Austria;48.251057118801995, 16.333044156718127;Austria, Vienna, Dbling
16763525;City-Apartments close to Schönbrunn;58957522;Penzing;Entire home/apt;55;2;10;23.02.2020;0.35;2;107;16.06.2020;Vienna;Austria;48.190844994813396, 16.29569875263675;Austria, Vienna, Penzing
17168951;Palais living in the center, Graben/Stephansplatz;76273629;Innere Stadt;Entire home/apt;180;2;87;02.01.2020;Лют.25;1;316;16.06.2020;Vienna;Austria;48.20888024229596, 16.370486389542116;Austria, Vienna, Innere Stadt
17360973;Apart. 1- Metro-Air Condition;2016457;Donaustadt;Entire home/apt;25;29;5;01.04.2020;0.15;2;137;16.06.2020;Vienna;Austria;48.22914180133271, 16.457104908962403;Austria, Vienna, Donaustadt
17456030;Gemütliche Terrassenwohnung in Wien;112863112;Hernals;Entire home/apt;40;2;2;23.04.2017;0.05;1;0;16.06.2020;Vienna;Austria;48.21737615162125, 16.33625202537303;Austria, Vienna, Hernals
17462624;"Fantastic 2 floor Rooftop Penthouse/
TOP Location!";17957817;Wieden;Entire home/apt;239;5;1;11.08.2018;0.04;1;363;16.06.2020;Vienna;Austria;48.1964125049683, 16.370491025774882;Austria, Vienna, Wieden
17474625;Sunny flat in the center of Vienna;4834372;Margareten;Entire home/apt;30;2;11;13.10.2019;0.28;1;0;16.06.2020;Vienna;Austria;48.187451313842594, 16.354127565663735;Austria, Vienna, Margareten
17825411;Holiday Home Lucy 4 W;120569999;Simmering;Entire home/apt;45;3;8;04.11.2019;0.21;5;324;16.06.2020;Vienna;Austria;48.174883076207976, 16.42621639646806;Austria, Vienna, Simmering
17884956;QuietArt Living;122480211;Rudolfsheim-Fnfhaus;Entire home/apt;70;2;122;16.03.2020;Бер.15;4;301;16.06.2020;Vienna;Austria;48.18683121897821, 16.32873486218877;Austria, Vienna, Rudolfsheim-Fnfhaus
17892426;Luxury Design Home Vienna X , AIRCONDITION !!!!!;305673;Landstra§e;Entire home/apt;129;3;16;02.01.2020;0.42;5;319;16.06.2020;Vienna;Austria;48.19774160570834, 16.400638519253054;Austria, Vienna, Landstra§e
17892565;Appartment Stadtpark - Wi-Fi now established;122565751;Landstra§e;Entire home/apt;99;3;3;27.08.2019;0.08;2;88;16.06.2020;Vienna;Austria;48.20854309853357, 16.388141167113346;Austria, Vienna, Landstra§e
17896118;Ferienwohnung LUCY 1 ab 14 € p.P.;120569999;Simmering;Entire home/apt;56;3;23;11.01.2020;0.67;5;0;16.06.2020;Vienna;Austria;48.174441473387425, 16.4266386106962;Austria, Vienna, Simmering
18015223;3- storey house in the heart of Sievering;108962248;Dbling;Entire home/apt;88;1;6;05.06.2017;0.15;2;0;16.06.2020;Vienna;Austria;48.24866653868053, 16.32794143356605;Austria, Vienna, Dbling
18091640;Michael's Refurbished Cocoon;26056448;Meidling;Entire home/apt;35;2;146;14.06.2020;Кві.13;1;353;16.06.2020;Vienna;Austria;48.17762678969938, 16.339082501840362;Austria, Vienna, Meidling
18115892;Skyscraper Luxury II;35154585;Donaustadt;Entire home/apt;75;2;45;05.03.2020;Січ.17;2;352;16.06.2020;Vienna;Austria;48.23751344769912, 16.425372842717298;Austria, Vienna, Donaustadt
18382057;Schöne Wiener Altbau-Wohnung im 7. Bezirk;91092998;Neubau;Entire home/apt;35;1;0;;;1;0;16.06.2020;Vienna;Austria;48.203526688749484, 16.349567485909883;Austria, Vienna, Neubau
18964840;Rooftop Apartment with Balcony;1622160;Favoriten;Entire home/apt;65;6;8;31.01.2020;0.38;1;365;16.06.2020;Vienna;Austria;48.17280385256506, 16.376954369500087;Austria, Vienna, Favoriten
18983806;***** WONDERFUL 2 bedroom apt - 100m to Naschmarkt;126537133;Mariahilf;Entire home/apt;130;3;75;09.02.2020;02.Кві;2;0;16.06.2020;Vienna;Austria;48.20101711457243, 16.358180890706578;Austria, Vienna, Mariahilf
19147731;Gemütliche 1 Zimmer Wohnung;90815576;Alsergrund;Entire home/apt;37;2;0;;;1;0;16.06.2020;Vienna;Austria;48.22753190227586, 16.354684423671056;Austria, Vienna, Alsergrund
19396088;Lovely big flat, in heart of Vienna;127518681;Josefstadt;Entire home/apt;125;2;1;02.01.2019;0.06;1;364;16.06.2020;Vienna;Austria;48.215742687533194, 16.343639031458988;Austria, Vienna, Josefstadt
19462988;Stilvolle, ruhige Wohnung mit Innenhoflage;84223655;Rudolfsheim-Fnfhaus;Entire home/apt;19;1;1;04.09.2019;0.1;1;0;16.06.2020;Vienna;Austria;48.191978505428324, 16.333376910823063;Austria, Vienna, Rudolfsheim-Fnfhaus
19470814;Hotspot Wien Mitte;3966509;Landstra§e;Entire home/apt;213;2;124;10.03.2020;Бер.43;10;0;16.06.2020;Vienna;Austria;48.20669685465003, 16.385301783009627;Austria, Vienna, Landstra§e
19667134;Nice and cozy apartment near Schönbrunn Castle;24196757;Rudolfsheim-Fnfhaus;Entire home/apt;50;2;2;30.07.2017;0.06;1;0;16.06.2020;Vienna;Austria;48.19731486817665, 16.319175548316554;Austria, Vienna, Rudolfsheim-Fnfhaus
19741067;Two-room apartment in good location;47021127;Landstra§e;Entire home/apt;80;1;13;14.09.2018;0.37;2;0;16.06.2020;Vienna;Austria;48.19391066703953, 16.389458165147204;Austria, Vienna, Landstra§e
19750023;cosy room in artsy apartment close to Westbahnhof;139314365;Rudolfsheim-Fnfhaus;Entire home/apt;25;2;3;31.07.2017;0.08;1;0;16.06.2020;Vienna;Austria;48.19207276044833, 16.334523991546995;Austria, Vienna, Rudolfsheim-Fnfhaus
